Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2016,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,1.41
2017,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.92
2018,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,1.27
2019,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,1.14
2020,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,1.1
2015,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,
2016,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,1.09
2017,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,0.62
2018,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,
2019,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,1.3
2020,Alberta,Part-time employees,Business - finance and administration occupations [1],55 years and over,0.86
2015,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.97
2016,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,1.01
2017,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.71
2018,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,
2019,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,1.36
2020,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 years and over,1.28
2015,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2016,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2017,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2018,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2019,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2020,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,
2015,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.8
2016,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,
2017,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.89
2018,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,
2019,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,1.39
2020,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,1.14
2015,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2016,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2017,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2018,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2019,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2020,Alberta,Part-time employees,Natural and applied sciences and related occupations [2],55 years and over,
2015,Alberta,Part-time employees,Health occupations [3],15 years and over,1.48
2016,Alberta,Part-time employees,Health occupations [3],15 years and over,1.66
2017,Alberta,Part-time employees,Health occupations [3],15 years and over,0.91
2018,Alberta,Part-time employees,Health occupations [3],15 years and over,1.25
2019,Alberta,Part-time employees,Health occupations [3],15 years and over,1.71
2020,Alberta,Part-time employees,Health occupations [3],15 years and over,1.18
2015,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2016,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2017,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2018,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2019,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2020,Alberta,Part-time employees,Health occupations [3],15 to 24 years,
2015,Alberta,Part-time employees,Health occupations [3],25 to 54 years,1.35
2016,Alberta,Part-time employees,Health occupations [3],25 to 54 years,
2017,Alberta,Part-time employees,Health occupations [3],25 to 54 years,
2018,Alberta,Part-time employees,Health occupations [3],25 to 54 years,
2019,Alberta,Part-time employees,Health occupations [3],25 to 54 years,
2020,Alberta,Part-time employees,Health occupations [3],25 to 54 years,1.23
2015,Alberta,Part-time employees,Health occupations [3],55 years and over,
2016,Alberta,Part-time employees,Health occupations [3],55 years and over,
2017,Alberta,Part-time employees,Health occupations [3],55 years and over,
2018,Alberta,Part-time employees,Health occupations [3],55 years and over,
2019,Alberta,Part-time employees,Health occupations [3],55 years and over,
2020,Alberta,Part-time employees,Health occupations [3],55 years and over,
2015,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.83
2016,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,1.14
2017,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.99
2018,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.73
2019,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,1.0
2020,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.96
2015,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2016,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.21
2017,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.13
2018,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2019,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.06
2020,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2015,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.87
2016,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,1.0
2017,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.89
2018,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.73
2019,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.82
2020,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.94
2015,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.59
2016,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,
2017,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.76
2018,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.67
2019,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.72
2020,Alberta,Part-time employees,Occupations in education - law and social - community and government services [4],55 years and over,
2015,Alberta,Part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.19
2016,Alberta,Part-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.13
