Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2016/2017,Youth courts,Nunavut,Crimes against property,16 and 17 years,Sex unknown,212.0
2017/2018,Youth courts,Nunavut,Crimes against property,16 and 17 years,Sex unknown,3.0
2018/2019,Youth courts,Nunavut,Crimes against property,16 and 17 years,Sex unknown,2.0
2014/2015,Youth courts,Nunavut,Crimes against property,Other ages,"Total, sex of accused",72.0
2015/2016,Youth courts,Nunavut,Crimes against property,Other ages,"Total, sex of accused",59.0
2016/2017,Youth courts,Nunavut,Crimes against property,Other ages,"Total, sex of accused",150.0
2017/2018,Youth courts,Nunavut,Crimes against property,Other ages,"Total, sex of accused",92.0
2018/2019,Youth courts,Nunavut,Crimes against property,Other ages,"Total, sex of accused",63.0
2014/2015,Youth courts,Nunavut,Crimes against property,Other ages,Males,72.0
2015/2016,Youth courts,Nunavut,Crimes against property,Other ages,Males,59.0
2016/2017,Youth courts,Nunavut,Crimes against property,Other ages,Males,150.0
2017/2018,Youth courts,Nunavut,Crimes against property,Other ages,Males,155.0
2018/2019,Youth courts,Nunavut,Crimes against property,Other ages,Males,63.0
2014/2015,Youth courts,Nunavut,Crimes against property,Other ages,Females,0.0
2015/2016,Youth courts,Nunavut,Crimes against property,Other ages,Females,0.0
2016/2017,Youth courts,Nunavut,Crimes against property,Other ages,Females,0.0
2017/2018,Youth courts,Nunavut,Crimes against property,Other ages,Females,85.0
2018/2019,Youth courts,Nunavut,Crimes against property,Other ages,Females,0.0
2014/2015,Youth courts,Nunavut,Crimes against property,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Crimes against property,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Nunavut,Crimes against property,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Nunavut,Crimes against property,Other ages,Sex unknown,1.0
2018/2019,Youth courts,Nunavut,Crimes against property,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Nunavut,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Nunavut,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Nunavut,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Nunavut,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Nunavut,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Crimes against property,Age not applicable,Company,0.0
2015/2016,Youth courts,Nunavut,Crimes against property,Age not applicable,Company,0.0
2016/2017,Youth courts,Nunavut,Crimes against property,Age not applicable,Company,0.0
2017/2018,Youth courts,Nunavut,Crimes against property,Age not applicable,Company,0.0
2018/2019,Youth courts,Nunavut,Crimes against property,Age not applicable,Company,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,"Total, age of accused","Total, sex of accused",4.0
2015/2016,Youth courts,Nunavut,Administration of justice,"Total, age of accused","Total, sex of accused",6.0
2016/2017,Youth courts,Nunavut,Administration of justice,"Total, age of accused","Total, sex of accused",72.0
2017/2018,Youth courts,Nunavut,Administration of justice,"Total, age of accused","Total, sex of accused",141.0
2018/2019,Youth courts,Nunavut,Administration of justice,"Total, age of accused","Total, sex of accused",183.0
2014/2015,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Males,2.0
2015/2016,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Males,1.0
2016/2017,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Males,73.0
2017/2018,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Males,176.0
2018/2019,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Males,92.0
2014/2015,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Females,8.0
2015/2016,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Females,97.0
2016/2017,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Females,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Females,141.0
2018/2019,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Females,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Sex unknown,4.0
2015/2016,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Sex unknown,1.0
2016/2017,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Sex unknown,2.0
2017/2018,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Sex unknown,17.0
2018/2019,Youth courts,Nunavut,Administration of justice,"Total, age of accused",Sex unknown,274.0
2014/2015,Youth courts,Nunavut,Administration of justice,12 to 15 years,"Total, sex of accused",3.0
2015/2016,Youth courts,Nunavut,Administration of justice,12 to 15 years,"Total, sex of accused",11.0
2016/2017,Youth courts,Nunavut,Administration of justice,12 to 15 years,"Total, sex of accused",127.0
2017/2018,Youth courts,Nunavut,Administration of justice,12 to 15 years,"Total, sex of accused",191.0
2018/2019,Youth courts,Nunavut,Administration of justice,12 to 15 years,"Total, sex of accused",274.0
2014/2015,Youth courts,Nunavut,Administration of justice,12 to 15 years,Males,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,12 to 15 years,Males,64.0
2016/2017,Youth courts,Nunavut,Administration of justice,12 to 15 years,Males,127.0
2017/2018,Youth courts,Nunavut,Administration of justice,12 to 15 years,Males,191.0
2018/2019,Youth courts,Nunavut,Administration of justice,12 to 15 years,Males,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,12 to 15 years,Females,2.0
2015/2016,Youth courts,Nunavut,Administration of justice,12 to 15 years,Females,11.0
2016/2017,Youth courts,Nunavut,Administration of justice,12 to 15 years,Females,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,12 to 15 years,Females,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,12 to 15 years,Females,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,12 to 15 years,Sex unknown,4.0
2015/2016,Youth courts,Nunavut,Administration of justice,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Nunavut,Administration of justice,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,12 to 15 years,Sex unknown,274.0
2014/2015,Youth courts,Nunavut,Administration of justice,16 and 17 years,"Total, sex of accused",163.0
2015/2016,Youth courts,Nunavut,Administration of justice,16 and 17 years,"Total, sex of accused",81.0
2016/2017,Youth courts,Nunavut,Administration of justice,16 and 17 years,"Total, sex of accused",1.0
2017/2018,Youth courts,Nunavut,Administration of justice,16 and 17 years,"Total, sex of accused",9.0
2018/2019,Youth courts,Nunavut,Administration of justice,16 and 17 years,"Total, sex of accused",92.0
2014/2015,Youth courts,Nunavut,Administration of justice,16 and 17 years,Males,183.0
2015/2016,Youth courts,Nunavut,Administration of justice,16 and 17 years,Males,1.0
2016/2017,Youth courts,Nunavut,Administration of justice,16 and 17 years,Males,1.0
2017/2018,Youth courts,Nunavut,Administration of justice,16 and 17 years,Males,1.0
2018/2019,Youth courts,Nunavut,Administration of justice,16 and 17 years,Males,92.0
2014/2015,Youth courts,Nunavut,Administration of justice,16 and 17 years,Females,86.0
2015/2016,Youth courts,Nunavut,Administration of justice,16 and 17 years,Females,183.0
2016/2017,Youth courts,Nunavut,Administration of justice,16 and 17 years,Females,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,16 and 17 years,Females,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,16 and 17 years,Females,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Nunavut,Administration of justice,16 and 17 years,Sex unknown,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,16 and 17 years,Sex unknown,17.0
2018/2019,Youth courts,Nunavut,Administration of justice,16 and 17 years,Sex unknown,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Other ages,"Total, sex of accused",2.0
2015/2016,Youth courts,Nunavut,Administration of justice,Other ages,"Total, sex of accused",1.0
2016/2017,Youth courts,Nunavut,Administration of justice,Other ages,"Total, sex of accused",38.0
2017/2018,Youth courts,Nunavut,Administration of justice,Other ages,"Total, sex of accused",141.0
2018/2019,Youth courts,Nunavut,Administration of justice,Other ages,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Other ages,Males,2.0
2015/2016,Youth courts,Nunavut,Administration of justice,Other ages,Males,8.0
2016/2017,Youth courts,Nunavut,Administration of justice,Other ages,Males,73.0
2017/2018,Youth courts,Nunavut,Administration of justice,Other ages,Males,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,Other ages,Males,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Other ages,Females,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,Other ages,Females,0.0
2016/2017,Youth courts,Nunavut,Administration of justice,Other ages,Females,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,Other ages,Females,141.0
2018/2019,Youth courts,Nunavut,Administration of justice,Other ages,Females,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,Other ages,Sex unknown,1.0
2016/2017,Youth courts,Nunavut,Administration of justice,Other ages,Sex unknown,2.0
2017/2018,Youth courts,Nunavut,Administration of justice,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Nunavut,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Nunavut,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Nunavut,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Nunavut,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Administration of justice,Age not applicable,Company,0.0
2015/2016,Youth courts,Nunavut,Administration of justice,Age not applicable,Company,0.0
2016/2017,Youth courts,Nunavut,Administration of justice,Age not applicable,Company,0.0
2017/2018,Youth courts,Nunavut,Administration of justice,Age not applicable,Company,0.0
2018/2019,Youth courts,Nunavut,Administration of justice,Age not applicable,Company,0.0
2019/2020,Adult criminal courts,,,,,141.0
2019/2020,Adult criminal courts,Canada,Total offences,"Total, age of accused",Males,141.0
2019/2020,Adult criminal courts,Canada,Total offences,"Total, age of accused",Females,132.0
2019/2020,Adult criminal courts,Canada,Total offences,"Total, age of accused",Company,169.0
2019/2020,Adult criminal courts,Canada,Total offences,"Total, age of accused",Sex unknown,155.0
2019/2020,Adult criminal courts,Canada,Total offences,18 to 24 years,"Total, sex of accused",157.0
2019/2020,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,161.0
2019/2020,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,142.0
2019/2020,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,167.0
2019/2020,Adult criminal courts,Canada,Total offences,25 to 34 years,"Total, sex of accused",141.0
2019/2020,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,141.0
2019/2020,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,134.0
2019/2020,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,155.0
2019/2020,Adult criminal courts,Canada,Total offences,35 to 44 years,"Total, sex of accused",138.0
2019/2020,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,138.0
2019/2020,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,134.0
2019/2020,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,154.0
2019/2020,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",140.0
2019/2020,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,141.0
2019/2020,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,127.0
2019/2020,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,154.0
2019/2020,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",118.0
2019/2020,Adult criminal courts,Canada,Total offences,55 years and over,Males,120.0
2019/2020,Adult criminal courts,Canada,Total offences,55 years and over,Females,103.0
2019/2020,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,149.0
2019/2020,Adult criminal courts,Canada,Total offences,Other ages,"Total, sex of accused",92.0
2019/2020,Adult criminal courts,Canada,Total offences,Other ages,Males,93.0
2019/2020,Adult criminal courts,Canada,Total offences,Other ages,Females,66.0
2019/2020,Adult criminal courts,Canada,Total offences,Other ages,Sex unknown,97.0
2019/2020,Adult criminal courts,Canada,Total offences,Age not applicable,"Total, sex of accused",169.0
2019/2020,Adult criminal courts,Canada,Total offences,Age not applicable,Company,169.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",141.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,142.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,129.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,217.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,154.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",155.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,159.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,141.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,165.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",140.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,141.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,131.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,151.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",138.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,139.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,133.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,149.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",141.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,144.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,127.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,152.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",124.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,127.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,101.0
2019/2020,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,155.0
