Year,Units,Geography,Offences,Age,Sex,Value
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Males,1.0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Males,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Males,187.0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Males,179.0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Males,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Females,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Females,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Females,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Females,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Females,120.0
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Total,85.0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Total,94.0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Total,85.0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Total,92.0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Total,90.0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Males,73.0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Males,78.0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Males,71.0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Males,78.0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Males,85.0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Females,120.0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Females,130.0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Females,170.0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Females,141.0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Females,153.0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Company,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Company,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Company,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Company,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Company,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Sex unknown,148.0
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,78.0
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,127.0
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,105.0
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,104.0
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,107.0
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,73.0
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,99.0
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,78.0
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,127.0
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,99.0
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,122.0
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,155.0
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,183.0
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,82.0
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,149.0
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,85.0
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,82.0
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,75.0
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,92.0
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,88.0
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,73.0
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,75.0
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,69.0
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,73.0
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,78.0
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,120.0
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,113.0
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,169.0
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,154.0
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,162.0
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,148.0
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Total,148.0
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Total,1.0
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Total,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Total,66.0
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Total,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Males,148.0
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Males,1.0
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Males,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Males,66.0
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Males,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Females,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Females,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Females,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Females,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Females,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Age not applicable,Total,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Age not applicable,Total,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Age not applicable,Total,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Age not applicable,Total,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Age not applicable,Total,0.0
2014/2015,Youth courts,Quebec,Administration of justice,Age not applicable,Company,0.0
2015/2016,Youth courts,Quebec,Administration of justice,Age not applicable,Company,0.0
2016/2017,Youth courts,Quebec,Administration of justice,Age not applicable,Company,0.0
2017/2018,Youth courts,Quebec,Administration of justice,Age not applicable,Company,0.0
2018/2019,Youth courts,Quebec,Administration of justice,Age not applicable,Company,0.0
2014/2015,Youth courts,Ontario,Total offences,Total,Total,123.0
2015/2016,Youth courts,Ontario,Total offences,Total,Total,132.0
2016/2017,Youth courts,Ontario,Total offences,Total,Total,143.0
2017/2018,Youth courts,Ontario,Total offences,Total,Total,149.0
2018/2019,Youth courts,Ontario,Total offences,Total,Total,169.0
2014/2015,Youth courts,Ontario,Total offences,Total,Males,128.0
2015/2016,Youth courts,Ontario,Total offences,Total,Males,137.0
2016/2017,Youth courts,Ontario,Total offences,Total,Males,148.0
2017/2018,Youth courts,Ontario,Total offences,Total,Males,155.0
2018/2019,Youth courts,Ontario,Total offences,Total,Males,175.0
2014/2015,Youth courts,Ontario,Total offences,Total,Females,106.0
2015/2016,Youth courts,Ontario,Total offences,Total,Females,118.0
2016/2017,Youth courts,Ontario,Total offences,Total,Females,129.0
2017/2018,Youth courts,Ontario,Total offences,Total,Females,127.0
2018/2019,Youth courts,Ontario,Total offences,Total,Females,148.0
2014/2015,Youth courts,Ontario,Total offences,Total,Company,0.0
2015/2016,Youth courts,Ontario,Total offences,Total,Company,0.0
2016/2017,Youth courts,Ontario,Total offences,Total,Company,0.0
2017/2018,Youth courts,Ontario,Total offences,Total,Company,0.0
2018/2019,Youth courts,Ontario,Total offences,Total,Company,0.0
2014/2015,Youth courts,Ontario,Total offences,Total,Sex unknown,36.0
2015/2016,Youth courts,Ontario,Total offences,Total,Sex unknown,85.0
2016/2017,Youth courts,Ontario,Total offences,Total,Sex unknown,129.0
2017/2018,Youth courts,Ontario,Total offences,Total,Sex unknown,80.0
2018/2019,Youth courts,Ontario,Total offences,Total,Sex unknown,75.0
2014/2015,Youth courts,Ontario,Total offences,12 to 15 years,Total,134.0
2015/2016,Youth courts,Ontario,Total offences,12 to 15 years,Total,135.0
2016/2017,Youth courts,Ontario,Total offences,12 to 15 years,Total,153.0
2017/2018,Youth courts,Ontario,Total offences,12 to 15 years,Total,151.0
2018/2019,Youth courts,Ontario,Total offences,12 to 15 years,Total,171.0
2014/2015,Youth courts,Ontario,Total offences,12 to 15 years,Males,141.0
2015/2016,Youth courts,Ontario,Total offences,12 to 15 years,Males,141.0
2016/2017,Youth courts,Ontario,Total offences,12 to 15 years,Males,157.0
2017/2018,Youth courts,Ontario,Total offences,12 to 15 years,Males,161.0
2018/2019,Youth courts,Ontario,Total offences,12 to 15 years,Males,176.0
2014/2015,Youth courts,Ontario,Total offences,12 to 15 years,Females,119.0
2015/2016,Youth courts,Ontario,Total offences,12 to 15 years,Females,125.0
2016/2017,Youth courts,Ontario,Total offences,12 to 15 years,Females,134.0
2017/2018,Youth courts,Ontario,Total offences,12 to 15 years,Females,127.0
2018/2019,Youth courts,Ontario,Total offences,12 to 15 years,Females,155.0
2014/2015,Youth courts,Ontario,Total offences,12 to 15 years,Sex unknown,21.0
2015/2016,Youth courts,Ontario,Total offences,12 to 15 years,Sex unknown,92.0
2016/2017,Youth courts,Ontario,Total offences,12 to 15 years,Sex unknown,169.0
2017/2018,Youth courts,Ontario,Total offences,12 to 15 years,Sex unknown,82.0
2018/2019,Youth courts,Ontario,Total offences,12 to 15 years,Sex unknown,284.0
2014/2015,Youth courts,Ontario,Total offences,16 and 17 years,Total,120.0
2015/2016,Youth courts,Ontario,Total offences,16 and 17 years,Total,130.0
2016/2017,Youth courts,Ontario,Total offences,16 and 17 years,Total,141.0
2017/2018,Youth courts,Ontario,Total offences,16 and 17 years,Total,149.0
2018/2019,Youth courts,Ontario,Total offences,16 and 17 years,Total,165.0
2014/2015,Youth courts,Ontario,Total offences,16 and 17 years,Males,127.0
2015/2016,Youth courts,Ontario,Total offences,16 and 17 years,Males,138.0
2016/2017,Youth courts,Ontario,Total offences,16 and 17 years,Males,143.0
2017/2018,Youth courts,Ontario,Total offences,16 and 17 years,Males,155.0
2018/2019,Youth courts,Ontario,Total offences,16 and 17 years,Males,173.0
2014/2015,Youth courts,Ontario,Total offences,16 and 17 years,Females,105.0
2015/2016,Youth courts,Ontario,Total offences,16 and 17 years,Females,113.0
2016/2017,Youth courts,Ontario,Total offences,16 and 17 years,Females,127.0
2017/2018,Youth courts,Ontario,Total offences,16 and 17 years,Females,128.0
2018/2019,Youth courts,Ontario,Total offences,16 and 17 years,Females,139.0
2014/2015,Youth courts,Ontario,Total offences,16 and 17 years,Sex unknown,88.0
2015/2016,Youth courts,Ontario,Total offences,16 and 17 years,Sex unknown,77.0
2016/2017,Youth courts,Ontario,Total offences,16 and 17 years,Sex unknown,74.0
2017/2018,Youth courts,Ontario,Total offences,16 and 17 years,Sex unknown,89.0
2018/2019,Youth courts,Ontario,Total offences,16 and 17 years,Sex unknown,378.0
2014/2015,Youth courts,Ontario,Total offences,Other ages,Total,106.0
2015/2016,Youth courts,Ontario,Total offences,Other ages,Total,106.0
2016/2017,Youth courts,Ontario,Total offences,Other ages,Total,78.0
2017/2018,Youth courts,Ontario,Total offences,Other ages,Total,90.0
2018/2019,Youth courts,Ontario,Total offences,Other ages,Total,154.0
2014/2015,Youth courts,Ontario,Total offences,Other ages,Males,109.0
2015/2016,Youth courts,Ontario,Total offences,Other ages,Males,99.0
2016/2017,Youth courts,Ontario,Total offences,Other ages,Males,71.0
2017/2018,Youth courts,Ontario,Total offences,Other ages,Males,92.0
2018/2019,Youth courts,Ontario,Total offences,Other ages,Males,182.0
2014/2015,Youth courts,Ontario,Total offences,Other ages,Females,98.0
2015/2016,Youth courts,Ontario,Total offences,Other ages,Females,125.0
2016/2017,Youth courts,Ontario,Total offences,Other ages,Females,106.0
2017/2018,Youth courts,Ontario,Total offences,Other ages,Females,100.0
2018/2019,Youth courts,Ontario,Total offences,Other ages,Females,119.0
2014/2015,Youth courts,Ontario,Total offences,Other ages,Sex unknown,19.0
2015/2016,Youth courts,Ontario,Total offences,Other ages,Sex unknown,99.0
2016/2017,Youth courts,Ontario,Total offences,Other ages,Sex unknown,91.0
2017/2018,Youth courts,Ontario,Total offences,Other ages,Sex unknown,1.0
2018/2019,Youth courts,Ontario,Total offences,Other ages,Sex unknown,13.0
2014/2015,Youth courts,Ontario,Total offences,Age not applicable,Total,0.0
2015/2016,Youth courts,Ontario,Total offences,Age not applicable,Total,0.0
2016/2017,Youth courts,Ontario,Total offences,Age not applicable,Total,0.0
2017/2018,Youth courts,Ontario,Total offences,Age not applicable,Total,0.0
2018/2019,Youth courts,Ontario,Total offences,Age not applicable,Total,0.0
2014/2015,Youth courts,Ontario,Total offences,Age not applicable,Company,0.0
2015/2016,Youth courts,Ontario,Total offences,Age not applicable,Company,0.0
2016/2017,Youth courts,Ontario,Total offences,Age not applicable,Company,0.0
2017/2018,Youth courts,Ontario,Total offences,Age not applicable,Company,0.0
2018/2019,Youth courts,Ontario,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Ontario,Total Criminal Code,Total,Total,130.0
2015/2016,Youth courts,Ontario,Total Criminal Code,Total,Total,140.0
2016/2017,Youth courts,Ontario,Total Criminal Code,Total,Total,150.0
2017/2018,Youth courts,Ontario,Total Criminal Code,Total,Total,155.0
2018/2019,Youth courts,Ontario,Total Criminal Code,Total,Total,172.0
