Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,25.5
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,44.5
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,65.3
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,7.3
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,30.5
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,12.3
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,25.4
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,55.0
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,13.4
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,49.9
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,21.5
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,7.3
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with other environmental benefits,24,25.0
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with any environmental benefits,24,44.5
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,32.7
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,13.5
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,13.8
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,22.7
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,18.8
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,7.4
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,26.0
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,20.2
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,15.9
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,26.7
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,17.6
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,15.9
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,9.2
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,8.4
2020/2022,Quebec,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with other environmental benefits,24,22.4
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with any environmental benefits,35,47.0
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,35,40.9
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,35,25.5
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,35,22.5
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,35,17.2
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",35,23.7
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",35,4.9
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,35,20.7
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",35,16.8
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions,35,14.1
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,35,29.3
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,35,18.8
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,35,21.8
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",35,13.3
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,35,10.3
2020/2022,Ontario,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with other environmental benefits,35,12.0
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with any environmental benefits,35,61.1
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,35,55.8
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,35,41.9
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,35,37.0
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,35,23.5
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",35,21.7
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",35,4.7
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,35,34.8
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",35,30.3
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced greenhouse gas emissions,35,26.3
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,35,27.0
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,35,18.5
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,35,16.5
2020/2022,Ontario,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",35,10.9
